gender,age_group,country,product_name,category,quantity,unit_price,order_status,payment_method,review_text
Male,Adults,USA,Barbie Dreamhouse,Toys,3,199,Cancelled,Credit Card,average
Female,Teenagers,China,Harry Potter Box Set,Books,1,80,Returned,Credit Card,very good
Other,Adults,Canada,Levi's Jeans,Apparel,2,59,Delivered,Credit Card,very bad
Female,Senior,China,Dyson Vacuum,Home & Kitchen,5,399,Pending,Cash on Delivery,bad
Female,Teenagers,Germany,Fitbit Versa 3,Electronics,2,229,Returned,Cash on Delivery,good
Female,Teenagers,Japan,Fitbit Versa 3,Electronics,1,229,Cancelled,PayPal,bad
Female,Senior,Japan,Lego Star Wars Set,Toys,5,59,Pending,Credit Card,very bad
Male,Adults,India,Sony Headphones,Electronics,5,199,Pending,Cash on Delivery,bad
Other,Teenagers,USA,iPhone 14,Electronics,5,999,Delivered,Credit Card,good
Female,Adults,France,Barbie Dreamhouse,Toys,2,199,Shipped,Cash on Delivery,average
Female,Adults,UK,Fitbit Versa 3,Electronics,2,229,Returned,Credit Card,very bad
Female,Teenagers,Germany,Adidas Running Shoes,Apparel,4,110,Pending,Cash on Delivery,very bad
Female,Adults,India,iPhone 14,Electronics,2,999,Delivered,Credit Card,very good
Male,Senior,Japan,Dyson Vacuum,Home & Kitchen,3,399,Returned,Credit Card,very bad
Male,Teenagers,Canada,Barbie Dreamhouse,Toys,4,199,Shipped,Cash on Delivery,good
Other,Adults,USA,Harry Potter Box Set,Books,1,80,Returned,Credit Card,very good
Male,Teenagers,Canada,Yoga Mat,Sports,2,25,Pending,PayPal,bad
Female,Senior,UK,Sony Headphones,Electronics,3,199,Delivered,Credit Card,very bad
Male,Adults,Brazil,Instant Pot,Home & Kitchen,1,99,Delivered,Cash on Delivery,very good
Other,Senior,Japan,Adidas Running Shoes,Apparel,4,110,Pending,PayPal,average
Female,Senior,France,Wilson Tennis Racket,Sports,2,149,Pending,Cash on Delivery,very good
Female,Teenagers,India,Wilson Tennis Racket,Sports,5,149,Returned,Cash on Delivery,good
Female,Teenagers,Japan,Levi's Jeans,Apparel,2,59,Pending,Credit Card,very good
Male,Teenagers,Germany,Adidas Running Shoes,Apparel,3,110,Pending,Cash on Delivery,very good
Female,Adults,France,Wilson Tennis Racket,Sports,3,149,Returned,Cash on Delivery,good
Female,Adults,Australia,Instant Pot,Home & Kitchen,4,99,Cancelled,Cash on Delivery,bad
Other,Teenagers,Canada,Sony Headphones,Electronics,3,199,Shipped,PayPal,bad
Female,Senior,USA,Adidas Running Shoes,Apparel,5,110,Returned,Cash on Delivery,very good
Other,Teenagers,Japan,Barbie Dreamhouse,Toys,1,199,Cancelled,PayPal,good
Female,Teenagers,China,Adidas Running Shoes,Apparel,2,110,Shipped,Credit Card,very bad
Female,Senior,Japan,Levi's Jeans,Apparel,3,59,Cancelled,Credit Card,average
Other,Senior,Brazil,Levi's Jeans,Apparel,3,59,Pending,PayPal,very good
Female,Senior,China,Fitbit Versa 3,Electronics,3,229,Returned,Credit Card,good
Other,Adults,Brazil,Lego Star Wars Set,Toys,5,59,Returned,Credit Card,very good
Female,Senior,Canada,Kindle Paperwhite,Books,4,129,Returned,Cash on Delivery,average
Female,Adults,Japan,Fitbit Versa 3,Electronics,2,229,Delivered,PayPal,bad
Female,Senior,Japan,Nike Air Max,Apparel,2,120,Shipped,Cash on Delivery,good
Other,Adults,Germany,Levi's Jeans,Apparel,2,59,Delivered,Cash on Delivery,very bad
Male,Senior,China,Samsung Galaxy S23,Electronics,2,899,Pending,Cash on Delivery,good
Male,Adults,India,Kindle Paperwhite,Books,4,129,Returned,PayPal,good
Female,Teenagers,India,Samsung Galaxy S23,Electronics,4,899,Shipped,Credit Card,average
Other,Teenagers,Japan,Nike Air Max,Apparel,2,120,Cancelled,Cash on Delivery,good
Other,Teenagers,China,Wilson Tennis Racket,Sports,3,149,Pending,Cash on Delivery,bad
Other,Senior,India,Sony Headphones,Electronics,2,199,Returned,PayPal,very good
Other,Teenagers,India,Sony Headphones,Electronics,5,199,Delivered,Credit Card,very good
Other,Adults,France,Yoga Mat,Sports,4,25,Cancelled,PayPal,good
Female,Adults,Canada,Wilson Tennis Racket,Sports,2,149,Returned,Credit Card,very good
Male,Teenagers,France,Nike Air Max,Apparel,3,120,Pending,Credit Card,bad
Male,Teenagers,Germany,Adidas Running Shoes,Apparel,3,110,Shipped,Credit Card,average
Female,Senior,Japan,Yoga Mat,Sports,2,25,Shipped,Credit Card,average
Female,Senior,Germany,Levi's Jeans,Apparel,1,59,Returned,Credit Card,bad
Other,Adults,Germany,Samsung Galaxy S23,Electronics,5,899,Cancelled,Credit Card,very good
Other,Adults,France,Harry Potter Box Set,Books,1,80,Shipped,PayPal,bad
Other,Senior,India,Dyson Vacuum,Home & Kitchen,2,399,Shipped,Cash on Delivery,bad
Female,Teenagers,Germany,Dyson Vacuum,Home & Kitchen,1,399,Pending,Credit Card,bad
Other,Adults,Brazil,Barbie Dreamhouse,Toys,1,199,Returned,Credit Card,average
Male,Senior,UK,Lego Star Wars Set,Toys,2,59,Cancelled,Credit Card,average
Female,Senior,USA,Nike Air Max,Apparel,5,120,Shipped,Cash on Delivery,very bad
Female,Teenagers,Germany,Fitbit Versa 3,Electronics,1,229,Delivered,Credit Card,bad
Male,Teenagers,Brazil,Yoga Mat,Sports,4,25,Cancelled,Credit Card,bad
Male,Senior,Brazil,Levi's Jeans,Apparel,4,59,Returned,PayPal,bad
Male,Senior,China,Yoga Mat,Sports,1,25,Delivered,Credit Card,very bad
Other,Senior,China,Harry Potter Box Set,Books,2,80,Shipped,Credit Card,good
Other,Senior,Germany,Samsung Galaxy S23,Electronics,5,899,Cancelled,PayPal,very good
Other,Teenagers,China,Levi's Jeans,Apparel,4,59,Shipped,Cash on Delivery,very good
Other,Teenagers,Germany,Sony Headphones,Electronics,1,199,Pending,Cash on Delivery,bad
Other,Adults,India,Levi's Jeans,Apparel,3,59,Delivered,PayPal,good
Female,Adults,Japan,Fitbit Versa 3,Electronics,2,229,Shipped,PayPal,very good
Female,Teenagers,Germany,Yoga Mat,Sports,2,25,Returned,Credit Card,good
Other,Senior,USA,Harry Potter Box Set,Books,1,80,Cancelled,PayPal,bad
Female,Teenagers,China,Barbie Dreamhouse,Toys,2,199,Shipped,PayPal,good
Other,Teenagers,China,Samsung Galaxy S23,Electronics,1,899,Pending,Credit Card,average
Male,Teenagers,Canada,Wilson Tennis Racket,Sports,3,149,Delivered,PayPal,very bad
Male,Adults,France,Levi's Jeans,Apparel,4,59,Cancelled,Cash on Delivery,very bad
Other,Teenagers,UK,Harry Potter Box Set,Books,3,80,Cancelled,PayPal,bad
Other,Senior,India,Nike Air Max,Apparel,3,120,Shipped,Cash on Delivery,very good
Male,Teenagers,India,Samsung Galaxy S23,Electronics,1,899,Pending,Cash on Delivery,very good
Female,Senior,Germany,Harry Potter Box Set,Books,1,80,Pending,Cash on Delivery,average
Male,Senior,UK,Adidas Running Shoes,Apparel,2,110,Pending,PayPal,good
Male,Teenagers,Canada,Sony Headphones,Electronics,4,199,Delivered,PayPal,very bad
Other,Adults,China,iPhone 14,Electronics,4,999,Shipped,Credit Card,very good
Male,Senior,France,iPhone 14,Electronics,1,999,Pending,PayPal,bad
Male,Teenagers,UK,iPhone 14,Electronics,3,999,Pending,Cash on Delivery,good
Male,Teenagers,China,Samsung Galaxy S23,Electronics,5,899,Returned,PayPal,very bad
Other,Senior,Brazil,Adidas Running Shoes,Apparel,2,110,Shipped,Cash on Delivery,very good
Female,Adults,Canada,Levi's Jeans,Apparel,2,59,Pending,Credit Card,good
Male,Senior,Canada,Sony Headphones,Electronics,5,199,Cancelled,PayPal,very good
Other,Senior,USA,Dyson Vacuum,Home & Kitchen,3,399,Shipped,PayPal,very good
Other,Teenagers,India,Barbie Dreamhouse,Toys,2,199,Shipped,Credit Card,good
Other,Teenagers,Japan,Barbie Dreamhouse,Toys,4,199,Cancelled,Cash on Delivery,average
Other,Senior,China,Fitbit Versa 3,Electronics,1,229,Cancelled,PayPal,bad
Female,Teenagers,Japan,iPhone 14,Electronics,5,999,Shipped,Cash on Delivery,very good
Male,Adults,Australia,Lego Star Wars Set,Toys,5,59,Returned,PayPal,average
Other,Adults,UK,Fitbit Versa 3,Electronics,3,229,Cancelled,Credit Card,bad
Other,Teenagers,USA,Sony Headphones,Electronics,3,199,Delivered,Credit Card,very good
Other,Senior,Brazil,Fitbit Versa 3,Electronics,4,229,Delivered,Cash on Delivery,bad
Other,Adults,France,Kindle Paperwhite,Books,2,129,Pending,Credit Card,average
Male,Teenagers,Canada,Sony Headphones,Electronics,3,199,Delivered,Credit Card,very bad
Female,Senior,France,Adidas Running Shoes,Apparel,4,110,Delivered,Credit Card,good
Male,Senior,Australia,Levi's Jeans,Apparel,1,59,Returned,Credit Card,average
Female,Teenagers,Brazil,Barbie Dreamhouse,Toys,3,199,Delivered,Credit Card,average
Male,Adults,USA,Samsung Galaxy S23,Electronics,3,899,Returned,Credit Card,good
Male,Teenagers,China,Lego Star Wars Set,Toys,3,59,Pending,Cash on Delivery,good
Other,Teenagers,France,Instant Pot,Home & Kitchen,4,99,Shipped,PayPal,good
Other,Adults,Canada,Lego Star Wars Set,Toys,5,59,Cancelled,Credit Card,very good
Female,Teenagers,UK,Harry Potter Box Set,Books,3,80,Pending,PayPal,very bad
Male,Adults,Japan,Kindle Paperwhite,Books,4,129,Shipped,PayPal,bad
Female,Adults,USA,Sony Headphones,Electronics,2,199,Delivered,Cash on Delivery,good
Male,Teenagers,USA,Samsung Galaxy S23,Electronics,4,899,Returned,Cash on Delivery,very good
Male,Senior,Australia,Barbie Dreamhouse,Toys,1,199,Returned,Cash on Delivery,average
Male,Adults,USA,Yoga Mat,Sports,1,25,Shipped,PayPal,very good
Female,Adults,Canada,Dyson Vacuum,Home & Kitchen,5,399,Pending,Credit Card,very good
Other,Adults,Brazil,Barbie Dreamhouse,Toys,4,199,Cancelled,PayPal,good
Male,Teenagers,Germany,Kindle Paperwhite,Books,1,129,Cancelled,Credit Card,good
Male,Teenagers,Australia,Sony Headphones,Electronics,3,199,Pending,Credit Card,very good
Other,Teenagers,Japan,Barbie Dreamhouse,Toys,1,199,Pending,Credit Card,very bad
Other,Adults,Canada,Instant Pot,Home & Kitchen,1,99,Cancelled,Credit Card,good
Female,Adults,India,Kindle Paperwhite,Books,4,129,Returned,PayPal,good
Male,Teenagers,UK,Instant Pot,Home & Kitchen,1,99,Pending,PayPal,bad
Female,Teenagers,Japan,Samsung Galaxy S23,Electronics,2,899,Delivered,Credit Card,very bad
Female,Teenagers,Canada,Dyson Vacuum,Home & Kitchen,4,399,Shipped,Credit Card,very good
Male,Senior,USA,Harry Potter Box Set,Books,4,80,Cancelled,PayPal,very good
Male,Teenagers,Canada,Fitbit Versa 3,Electronics,5,229,Pending,Cash on Delivery,average
Male,Senior,Japan,Barbie Dreamhouse,Toys,3,199,Shipped,Cash on Delivery,very good
Other,Teenagers,Brazil,Adidas Running Shoes,Apparel,5,110,Delivered,Credit Card,good
Male,Adults,India,Samsung Galaxy S23,Electronics,5,899,Pending,Cash on Delivery,good
Female,Teenagers,USA,Instant Pot,Home & Kitchen,3,99,Returned,Cash on Delivery,very bad
Female,Senior,USA,Fitbit Versa 3,Electronics,4,229,Shipped,Cash on Delivery,very bad
Male,Teenagers,Australia,Harry Potter Box Set,Books,1,80,Delivered,Credit Card,very good
Male,Adults,India,Lego Star Wars Set,Toys,4,59,Pending,Credit Card,bad
Female,Teenagers,Brazil,Nike Air Max,Apparel,3,120,Pending,Cash on Delivery,very good
Other,Teenagers,France,Fitbit Versa 3,Electronics,2,229,Shipped,Credit Card,very good
Male,Teenagers,Canada,Levi's Jeans,Apparel,2,59,Shipped,PayPal,very good
Male,Senior,UK,Wilson Tennis Racket,Sports,4,149,Cancelled,PayPal,very bad
Male,Teenagers,Australia,Sony Headphones,Electronics,3,199,Returned,PayPal,very good
Other,Teenagers,Germany,Kindle Paperwhite,Books,2,129,Returned,PayPal,very good
Other,Senior,Germany,Fitbit Versa 3,Electronics,3,229,Delivered,PayPal,very good
Other,Senior,Japan,Nike Air Max,Apparel,4,120,Returned,PayPal,average
Female,Adults,Germany,Instant Pot,Home & Kitchen,5,99,Delivered,Credit Card,good
Female,Teenagers,UK,Sony Headphones,Electronics,3,199,Pending,PayPal,very bad
Male,Senior,Japan,Barbie Dreamhouse,Toys,2,199,Delivered,Cash on Delivery,bad
Other,Adults,UK,Samsung Galaxy S23,Electronics,1,899,Delivered,PayPal,bad
Female,Senior,Japan,Kindle Paperwhite,Books,4,129,Cancelled,PayPal,very good
Male,Adults,Brazil,Wilson Tennis Racket,Sports,5,149,Shipped,PayPal,very bad
Other,Teenagers,China,Adidas Running Shoes,Apparel,5,110,Returned,Cash on Delivery,good
Other,Teenagers,France,Sony Headphones,Electronics,5,199,Pending,Credit Card,average
Female,Senior,Canada,iPhone 14,Electronics,5,999,Pending,PayPal,very good
Other,Adults,Japan,Lego Star Wars Set,Toys,3,59,Returned,Credit Card,bad
Male,Adults,Australia,Adidas Running Shoes,Apparel,2,110,Shipped,Cash on Delivery,bad
Other,Adults,USA,Barbie Dreamhouse,Toys,5,199,Returned,Cash on Delivery,average
Other,Adults,Canada,Wilson Tennis Racket,Sports,2,149,Cancelled,Cash on Delivery,bad
Other,Adults,USA,Nike Air Max,Apparel,5,120,Shipped,Cash on Delivery,average
Other,Senior,Brazil,Levi's Jeans,Apparel,4,59,Delivered,Credit Card,average
Other,Senior,France,Dyson Vacuum,Home & Kitchen,2,399,Returned,Credit Card,bad
Other,Senior,UK,Instant Pot,Home & Kitchen,5,99,Returned,Credit Card,bad
Female,Teenagers,China,Dyson Vacuum,Home & Kitchen,3,399,Cancelled,Credit Card,very bad
Female,Senior,Japan,iPhone 14,Electronics,2,999,Delivered,PayPal,good
Other,Teenagers,India,Fitbit Versa 3,Electronics,2,229,Shipped,Credit Card,good
Female,Senior,UK,Lego Star Wars Set,Toys,1,59,Delivered,Cash on Delivery,very good
Other,Adults,Australia,Sony Headphones,Electronics,1,199,Returned,PayPal,very good
Female,Adults,France,Samsung Galaxy S23,Electronics,3,899,Delivered,Cash on Delivery,bad
Male,Senior,Brazil,Lego Star Wars Set,Toys,2,59,Shipped,PayPal,very good
Other,Teenagers,China,Yoga Mat,Sports,2,25,Cancelled,Credit Card,very good
Other,Teenagers,USA,Kindle Paperwhite,Books,1,129,Cancelled,PayPal,very good
Other,Senior,Japan,iPhone 14,Electronics,1,999,Delivered,Credit Card,good
Male,Senior,Brazil,Kindle Paperwhite,Books,1,129,Shipped,Cash on Delivery,bad
Male,Senior,India,Kindle Paperwhite,Books,4,129,Pending,Cash on Delivery,very bad
Other,Adults,India,Barbie Dreamhouse,Toys,1,199,Returned,PayPal,bad
Male,Senior,India,Levi's Jeans,Apparel,1,59,Cancelled,PayPal,bad
Female,Teenagers,Germany,Levi's Jeans,Apparel,1,59,Returned,Credit Card,very bad
Male,Teenagers,Japan,Wilson Tennis Racket,Sports,1,149,Shipped,Cash on Delivery,average
Male,Adults,China,Fitbit Versa 3,Electronics,4,229,Pending,PayPal,bad
Male,Senior,Australia,Kindle Paperwhite,Books,2,129,Returned,Cash on Delivery,average
Female,Adults,Germany,Nike Air Max,Apparel,3,120,Returned,PayPal,average
Female,Teenagers,Australia,Lego Star Wars Set,Toys,4,59,Cancelled,Credit Card,bad
Other,Teenagers,USA,Nike Air Max,Apparel,5,120,Pending,Credit Card,good
Male,Senior,UK,Kindle Paperwhite,Books,3,129,Delivered,Cash on Delivery,average
Female,Senior,Canada,Wilson Tennis Racket,Sports,1,149,Delivered,PayPal,good
Female,Adults,China,Instant Pot,Home & Kitchen,3,99,Returned,PayPal,bad
Female,Senior,China,Harry Potter Box Set,Books,3,80,Shipped,Cash on Delivery,very good
Female,Teenagers,Brazil,Instant Pot,Home & Kitchen,4,99,Delivered,PayPal,very bad
Male,Teenagers,India,Wilson Tennis Racket,Sports,1,149,Returned,PayPal,bad
Female,Teenagers,Canada,Adidas Running Shoes,Apparel,2,110,Pending,Credit Card,average
Other,Teenagers,Japan,Wilson Tennis Racket,Sports,4,149,Returned,Credit Card,good
Male,Senior,Brazil,Samsung Galaxy S23,Electronics,1,899,Delivered,Credit Card,bad
Male,Adults,Germany,Lego Star Wars Set,Toys,1,59,Delivered,Credit Card,very good
Other,Teenagers,Brazil,Instant Pot,Home & Kitchen,5,99,Pending,PayPal,bad
Female,Adults,India,Nike Air Max,Apparel,1,120,Delivered,Credit Card,good
Female,Teenagers,France,Nike Air Max,Apparel,5,120,Cancelled,Credit Card,bad
Male,Adults,USA,Sony Headphones,Electronics,4,199,Shipped,Credit Card,very bad
Other,Senior,Australia,Nike Air Max,Apparel,5,120,Delivered,PayPal,good
Other,Senior,France,Fitbit Versa 3,Electronics,3,229,Returned,PayPal,very good
Female,Senior,Canada,Wilson Tennis Racket,Sports,5,149,Pending,Credit Card,very bad
Other,Adults,Germany,iPhone 14,Electronics,1,999,Delivered,PayPal,bad
Female,Senior,China,Sony Headphones,Electronics,1,199,Delivered,Credit Card,very good
Male,Teenagers,France,Dyson Vacuum,Home & Kitchen,5,399,Returned,Credit Card,very bad
Male,Senior,India,Samsung Galaxy S23,Electronics,4,899,Cancelled,Cash on Delivery,very bad
Other,Adults,Canada,Sony Headphones,Electronics,3,199,Returned,PayPal,very bad
Female,Teenagers,Brazil,Samsung Galaxy S23,Electronics,4,899,Returned,PayPal,very bad
Other,Teenagers,Brazil,Adidas Running Shoes,Apparel,5,110,Shipped,PayPal,very bad
Female,Teenagers,Canada,Dyson Vacuum,Home & Kitchen,4,399,Delivered,Cash on Delivery,good
Female,Teenagers,France,Sony Headphones,Electronics,2,199,Delivered,Credit Card,very bad
Male,Adults,Canada,Adidas Running Shoes,Apparel,5,110,Cancelled,Credit Card,average
Male,Teenagers,Canada,Samsung Galaxy S23,Electronics,2,899,Cancelled,Credit Card,good
Female,Adults,Japan,iPhone 14,Electronics,1,999,Returned,PayPal,bad
Female,Adults,China,Instant Pot,Home & Kitchen,4,99,Delivered,PayPal,very good
Male,Teenagers,France,Harry Potter Box Set,Books,1,80,Shipped,Cash on Delivery,very bad
Female,Teenagers,UK,Yoga Mat,Sports,1,25,Returned,Credit Card,very bad
Female,Teenagers,Brazil,Yoga Mat,Sports,1,25,Returned,Cash on Delivery,bad
Male,Senior,France,Kindle Paperwhite,Books,4,129,Pending,PayPal,bad
Female,Teenagers,UK,Fitbit Versa 3,Electronics,5,229,Shipped,Cash on Delivery,very good
Female,Senior,Brazil,Nike Air Max,Apparel,4,120,Cancelled,Cash on Delivery,bad
Other,Senior,France,Samsung Galaxy S23,Electronics,2,899,Pending,PayPal,good
Other,Adults,Brazil,Sony Headphones,Electronics,1,199,Returned,Credit Card,very good
Male,Adults,USA,Samsung Galaxy S23,Electronics,3,899,Returned,PayPal,average
Male,Teenagers,Canada,Fitbit Versa 3,Electronics,4,229,Shipped,PayPal,bad
Other,Teenagers,Germany,Lego Star Wars Set,Toys,3,59,Cancelled,PayPal,bad
Other,Adults,Brazil,Kindle Paperwhite,Books,5,129,Shipped,PayPal,bad
Female,Adults,USA,Dyson Vacuum,Home & Kitchen,1,399,Shipped,PayPal,bad
Female,Adults,Australia,Dyson Vacuum,Home & Kitchen,1,399,Cancelled,Credit Card,average
Other,Senior,Germany,Dyson Vacuum,Home & Kitchen,2,399,Cancelled,PayPal,average
Female,Senior,UK,Instant Pot,Home & Kitchen,1,99,Cancelled,Credit Card,bad
Female,Senior,France,Fitbit Versa 3,Electronics,2,229,Cancelled,PayPal,very bad
Male,Adults,Brazil,Sony Headphones,Electronics,4,199,Pending,PayPal,very bad
Female,Senior,Brazil,Yoga Mat,Sports,2,25,Returned,Credit Card,very good
Female,Teenagers,India,iPhone 14,Electronics,1,999,Cancelled,PayPal,very good
Female,Teenagers,Japan,Sony Headphones,Electronics,4,199,Pending,PayPal,very good
Other,Teenagers,Germany,Kindle Paperwhite,Books,2,129,Delivered,Credit Card,bad
Other,Teenagers,USA,iPhone 14,Electronics,4,999,Shipped,PayPal,very bad
Male,Teenagers,India,Dyson Vacuum,Home & Kitchen,3,399,Cancelled,PayPal,average
Male,Teenagers,Japan,Kindle Paperwhite,Books,1,129,Shipped,PayPal,very good
Other,Senior,USA,Levi's Jeans,Apparel,5,59,Cancelled,PayPal,very good
Other,Senior,India,Yoga Mat,Sports,3,25,Pending,Cash on Delivery,average
Female,Teenagers,Australia,Barbie Dreamhouse,Toys,2,199,Returned,Credit Card,very good
Female,Senior,UK,Levi's Jeans,Apparel,3,59,Returned,Cash on Delivery,very bad
Female,Adults,Japan,Dyson Vacuum,Home & Kitchen,4,399,Delivered,Cash on Delivery,bad
Other,Adults,China,Levi's Jeans,Apparel,2,59,Pending,Credit Card,average
Female,Adults,Canada,iPhone 14,Electronics,4,999,Delivered,Cash on Delivery,average
Male,Adults,China,Samsung Galaxy S23,Electronics,4,899,Pending,Cash on Delivery,good
Other,Senior,France,Fitbit Versa 3,Electronics,2,229,Returned,Cash on Delivery,very good
Male,Teenagers,Canada,Fitbit Versa 3,Electronics,4,229,Cancelled,Credit Card,very good
Male,Senior,Canada,Lego Star Wars Set,Toys,1,59,Shipped,PayPal,average
Other,Adults,Brazil,Yoga Mat,Sports,4,25,Returned,Credit Card,very good
Other,Senior,Japan,Lego Star Wars Set,Toys,3,59,Cancelled,PayPal,very bad
Other,Senior,France,Nike Air Max,Apparel,1,120,Delivered,Credit Card,average
Other,Senior,France,Harry Potter Box Set,Books,4,80,Returned,PayPal,very bad
Male,Adults,India,Yoga Mat,Sports,1,25,Cancelled,Credit Card,very bad
Female,Senior,Australia,Yoga Mat,Sports,5,25,Pending,Cash on Delivery,very bad
Male,Senior,Canada,Barbie Dreamhouse,Toys,2,199,Delivered,PayPal,average
Other,Adults,USA,Samsung Galaxy S23,Electronics,3,899,Delivered,PayPal,very good
Male,Senior,Brazil,Adidas Running Shoes,Apparel,2,110,Returned,Credit Card,very bad
Female,Teenagers,France,Levi's Jeans,Apparel,3,59,Delivered,Cash on Delivery,good
Male,Adults,USA,Wilson Tennis Racket,Sports,5,149,Returned,Credit Card,average
Male,Adults,China,Dyson Vacuum,Home & Kitchen,4,399,Pending,Cash on Delivery,very bad
Other,Adults,France,Harry Potter Box Set,Books,3,80,Shipped,Cash on Delivery,very bad
Female,Senior,India,Lego Star Wars Set,Toys,2,59,Shipped,PayPal,very bad
Other,Senior,Japan,Adidas Running Shoes,Apparel,1,110,Returned,Credit Card,bad
Female,Teenagers,UK,Instant Pot,Home & Kitchen,1,99,Cancelled,Credit Card,very bad
Female,Senior,UK,Yoga Mat,Sports,4,25,Pending,PayPal,bad
Male,Teenagers,USA,Harry Potter Box Set,Books,4,80,Returned,Credit Card,average
Female,Adults,China,Instant Pot,Home & Kitchen,2,99,Returned,PayPal,good
Female,Teenagers,Brazil,Adidas Running Shoes,Apparel,4,110,Pending,PayPal,average
Other,Senior,USA,Wilson Tennis Racket,Sports,2,149,Cancelled,Cash on Delivery,good
Other,Teenagers,Germany,Instant Pot,Home & Kitchen,1,99,Pending,Cash on Delivery,average
Other,Teenagers,Canada,Levi's Jeans,Apparel,4,59,Shipped,PayPal,good
Male,Senior,Japan,Adidas Running Shoes,Apparel,5,110,Delivered,Credit Card,bad
Male,Senior,China,Nike Air Max,Apparel,3,120,Pending,Cash on Delivery,bad
Male,Teenagers,USA,Levi's Jeans,Apparel,4,59,Returned,Cash on Delivery,very bad
